rho_box,zeta_box,safe_box,diag_box_floor_abs,mu_mirror_over_box,induced_anchor_lower_bound
0.41000000000000003,0.9600000000000002,1,5.430929641727483e-05,1.0099590257367146,
0.41000000000000003,0.9700000000000002,1,6.077942331410903e-05,1.0099590257367146,
0.41000000000000003,0.9800000000000002,1,6.345617955322473e-05,1.0153216197632449,
0.41000000000000003,0.9900000000000002,1,5.977213911078103e-05,1.0153216197632449,
0.41000000000000003,1.0000000000000002,1,6.549628736148306e-05,1.0153216197632449,
0.41000000000000003,1.0100000000000002,1,5.487173613624108e-05,1.0229077795022519,
0.41000000000000003,1.0200000000000002,1,5.487173613624108e-05,1.0229077795022519,
0.41000000000000003,1.0300000000000002,1,5.487173613624108e-05,1.0229077795022519,
0.41000000000000003,1.0400000000000003,1,4.093792744600893e-05,1.0325777341113827,
0.41000000000000003,1.0500000000000003,1,4.093792744600893e-05,1.0325777341113827,
0.41000000000000003,1.0600000000000003,1,4.093792744600893e-05,1.0325777341113827,
0.41000000000000003,1.0700000000000003,1,2.716767575000276e-05,1.082055382409954,
0.41000000000000003,1.0800000000000003,1,2.716767575000276e-05,1.082055382409954,
0.41000000000000003,1.0900000000000003,1,2.716767575000276e-05,1.082055382409954,
0.41000000000000003,1.1000000000000003,1,1.3643300655019088e-05,2.154678733261247,
0.41000000000000003,1.1100000000000003,1,1.3643300655019088e-05,2.154678733261247,
0.41000000000000003,1.1200000000000003,1,1.3643300655019088e-05,2.154678733261247,
0.41000000000000003,1.1300000000000003,1,4.4020372009836973e-07,66.78028474245903,
0.41000000000000003,1.1400000000000003,1,4.4020372009836973e-07,66.78028474245903,
0.41000000000000003,1.1500000000000004,1,4.4020372009836973e-07,66.78028474245903,
0.41000000000000003,1.1600000000000004,0,,,
0.41000000000000003,1.1700000000000004,0,,,
0.41000000000000003,1.1800000000000004,0,,,
0.41000000000000003,1.1900000000000004,0,,,
0.41000000000000003,1.2000000000000004,0,,,
0.41000000000000003,1.2100000000000004,0,,,
0.42000000000000004,0.8,1,3.26863387001707e-05,1.0226657568574835,
0.42000000000000004,0.81,1,2.486678699011656e-05,1.2641747960784693,
0.42000000000000004,0.8200000000000001,1,3.508659310955914e-05,1.0226657568574835,
0.42000000000000004,0.8300000000000001,1,3.799914878355839e-05,1.0141196901703302,
0.42000000000000004,0.8400000000000001,1,3.0902813309256514e-05,1.0172525413063647,
0.42000000000000004,0.8500000000000001,1,4.0383162999661955e-05,1.0141196901703302,
0.42000000000000004,0.8600000000000001,1,4.329204740240553e-05,1.0088359061150305,
0.42000000000000004,0.8700000000000001,1,3.690910320476202e-05,1.0088359061150305,
0.42000000000000004,0.8800000000000001,1,4.5640570805742045e-05,1.0088359061150305,
0.42000000000000004,0.8900000000000001,1,4.852248002383649e-05,1.0065315544949187,
0.42000000000000004,0.9000000000000001,1,4.2840064449616904e-05,1.0065315544949187,
0.42000000000000004,0.9100000000000001,1,5.0817540554766006e-05,1.0065315544949187,
0.42000000000000004,0.9200000000000002,1,5.365071913984483e-05,1.006971977569887,
0.42000000000000004,0.9300000000000002,1,4.865323105979987e-05,1.006971977569887,
0.42000000000000004,0.9400000000000002,1,5.587565830575009e-05,1.006971977569887,
0.42000000000000004,0.9500000000000002,1,5.863992260661447e-05,1.0099590257367146,
0.42000000000000004,0.9600000000000002,1,5.430929641727483e-05,1.0099590257367146,
0.42000000000000004,0.9700000000000002,1,6.077942331410903e-05,1.0099590257367146,
0.42000000000000004,0.9800000000000002,1,6.345617955322473e-05,1.0153216197632449,
0.42000000000000004,0.9900000000000002,1,5.977213911078103e-05,1.0153216197632449,
0.42000000000000004,1.0000000000000002,1,6.549628736148306e-05,1.0153216197632449,
0.42000000000000004,1.0100000000000002,1,5.487173613624108e-05,1.0229077795022519,
0.42000000000000004,1.0200000000000002,1,5.487173613624108e-05,1.0229077795022519,
0.42000000000000004,1.0300000000000002,1,5.487173613624108e-05,1.0229077795022519,
0.42000000000000004,1.0400000000000003,1,4.093792744600893e-05,1.0325777341113827,
0.42000000000000004,1.0500000000000003,1,4.093792744600893e-05,1.0325777341113827,
0.42000000000000004,1.0600000000000003,1,4.093792744600893e-05,1.0325777341113827,
0.42000000000000004,1.0700000000000003,1,2.716767575000276e-05,1.082055382409954,
0.42000000000000004,1.0800000000000003,1,2.716767575000276e-05,1.082055382409954,
0.42000000000000004,1.0900000000000003,1,2.716767575000276e-05,1.082055382409954,
0.42000000000000004,1.1000000000000003,1,1.3643300655019088e-05,2.154678733261247,
0.42000000000000004,1.1100000000000003,1,1.3643300655019088e-05,2.154678733261247,
0.42000000000000004,1.1200000000000003,1,1.3643300655019088e-05,2.154678733261247,
0.42000000000000004,1.1300000000000003,1,4.4020372009836973e-07,66.78028474245903,
0.42000000000000004,1.1400000000000003,1,4.4020372009836973e-07,66.78028474245903,
0.42000000000000004,1.1500000000000004,1,4.4020372009836973e-07,66.78028474245903,
0.42000000000000004,1.1600000000000004,0,,,
0.42000000000000004,1.1700000000000004,0,,,
0.42000000000000004,1.1800000000000004,0,,,
0.42000000000000004,1.1900000000000004,0,,,
0.42000000000000004,1.2000000000000004,0,,,
0.42000000000000004,1.2100000000000004,0,,,
0.43000000000000005,0.8,1,3.26863387001707e-05,1.0226657568574835,
0.43000000000000005,0.81,1,2.486678699011656e-05,1.2641747960784693,
0.43000000000000005,0.8200000000000001,1,3.508659310955914e-05,1.0226657568574835,
0.43000000000000005,0.8300000000000001,1,3.799914878355839e-05,1.0141196901703302,
0.43000000000000005,0.8400000000000001,1,3.0902813309256514e-05,1.0172525413063647,
0.43000000000000005,0.8500000000000001,1,4.0383162999661955e-05,1.0141196901703302,
0.43000000000000005,0.8600000000000001,1,4.329204740240553e-05,1.0088359061150305,
0.43000000000000005,0.8700000000000001,1,3.690910320476202e-05,1.0088359061150305,
0.43000000000000005,0.8800000000000001,1,4.5640570805742045e-05,1.0088359061150305,
0.43000000000000005,0.8900000000000001,1,4.852248002383649e-05,1.0065315544949187,
0.43000000000000005,0.9000000000000001,1,4.2840064449616904e-05,1.0065315544949187,
0.43000000000000005,0.9100000000000001,1,5.0817540554766006e-05,1.0065315544949187,
0.43000000000000005,0.9200000000000002,1,5.365071913984483e-05,1.006971977569887,
0.43000000000000005,0.9300000000000002,1,4.865323105979987e-05,1.006971977569887,
0.43000000000000005,0.9400000000000002,1,5.587565830575009e-05,1.006971977569887,
0.43000000000000005,0.9500000000000002,1,5.863992260661447e-05,1.0099590257367146,
0.43000000000000005,0.9600000000000002,1,5.430929641727483e-05,1.0099590257367146,
0.43000000000000005,0.9700000000000002,1,6.077942331410903e-05,1.0099590257367146,
0.43000000000000005,0.9800000000000002,1,6.345617955322473e-05,1.0153216197632449,
0.43000000000000005,0.9900000000000002,1,5.977213911078103e-05,1.0153216197632449,
0.43000000000000005,1.0000000000000002,1,6.549628736148306e-05,1.0153216197632449,
0.43000000000000005,1.0100000000000002,1,5.487173613624108e-05,1.0229077795022519,
0.43000000000000005,1.0200000000000002,1,5.487173613624108e-05,1.0229077795022519,
0.43000000000000005,1.0300000000000002,1,5.487173613624108e-05,1.0229077795022519,
0.43000000000000005,1.0400000000000003,1,4.093792744600893e-05,1.0325777341113827,
0.43000000000000005,1.0500000000000003,1,4.093792744600893e-05,1.0325777341113827,
0.43000000000000005,1.0600000000000003,1,4.093792744600893e-05,1.0325777341113827,
0.43000000000000005,1.0700000000000003,1,2.716767575000276e-05,1.082055382409954,
0.43000000000000005,1.0800000000000003,1,2.716767575000276e-05,1.082055382409954,
0.43000000000000005,1.0900000000000003,1,2.716767575000276e-05,1.082055382409954,
0.43000000000000005,1.1000000000000003,1,1.3643300655019088e-05,2.154678733261247,
0.43000000000000005,1.1100000000000003,1,1.3643300655019088e-05,2.154678733261247,
0.43000000000000005,1.1200000000000003,1,1.3643300655019088e-05,2.154678733261247,
0.43000000000000005,1.1300000000000003,1,4.4020372009836973e-07,66.78028474245903,
0.43000000000000005,1.1400000000000003,1,4.4020372009836973e-07,66.78028474245903,
0.43000000000000005,1.1500000000000004,1,4.4020372009836973e-07,66.78028474245903,
0.43000000000000005,1.1600000000000004,0,,,
0.43000000000000005,1.1700000000000004,0,,,
0.43000000000000005,1.1800000000000004,0,,,
0.43000000000000005,1.1900000000000004,0,,,
0.43000000000000005,1.2000000000000004,0,,,
0.43000000000000005,1.2100000000000004,0,,,
0.44000000000000006,0.8,1,3.26863387001707e-05,1.0226657568574835,
0.44000000000000006,0.81,1,2.486678699011656e-05,1.2641747960784693,
0.44000000000000006,0.8200000000000001,1,3.508659310955914e-05,1.0226657568574835,
0.44000000000000006,0.8300000000000001,1,3.799914878355839e-05,1.0141196901703302,
0.44000000000000006,0.8400000000000001,1,3.0902813309256514e-05,1.0172525413063647,
0.44000000000000006,0.8500000000000001,1,4.0383162999661955e-05,1.0141196901703302,
0.44000000000000006,0.8600000000000001,1,4.329204740240553e-05,1.0088359061150305,
0.44000000000000006,0.8700000000000001,1,3.690910320476202e-05,1.0088359061150305,
0.44000000000000006,0.8800000000000001,1,4.5640570805742045e-05,1.0088359061150305,
0.44000000000000006,0.8900000000000001,1,4.852248002383649e-05,1.0065315544949187,
0.44000000000000006,0.9000000000000001,1,4.2840064449616904e-05,1.0065315544949187,
0.44000000000000006,0.9100000000000001,1,5.0817540554766006e-05,1.0065315544949187,
0.44000000000000006,0.9200000000000002,1,5.365071913984483e-05,1.006971977569887,
0.44000000000000006,0.9300000000000002,1,4.865323105979987e-05,1.006971977569887,
0.44000000000000006,0.9400000000000002,1,5.587565830575009e-05,1.006971977569887,
0.44000000000000006,0.9500000000000002,1,5.863992260661447e-05,1.0099590257367146,
0.44000000000000006,0.9600000000000002,1,5.430929641727483e-05,1.0099590257367146,
0.44000000000000006,0.9700000000000002,1,6.077942331410903e-05,1.0099590257367146,
0.44000000000000006,0.9800000000000002,1,6.345617955322473e-05,1.0153216197632449,
0.44000000000000006,0.9900000000000002,1,5.977213911078103e-05,1.0153216197632449,
0.44000000000000006,1.0000000000000002,1,6.549628736148306e-05,1.0153216197632449,
0.44000000000000006,1.0100000000000002,1,5.487173613624108e-05,1.0229077795022519,
0.44000000000000006,1.0200000000000002,1,5.487173613624108e-05,1.0229077795022519,
0.44000000000000006,1.0300000000000002,1,5.487173613624108e-05,1.0229077795022519,
0.44000000000000006,1.0400000000000003,1,4.093792744600893e-05,1.0325777341113827,
0.44000000000000006,1.0500000000000003,1,4.093792744600893e-05,1.0325777341113827,
0.44000000000000006,1.0600000000000003,1,4.093792744600893e-05,1.0325777341113827,
0.44000000000000006,1.0700000000000003,1,2.716767575000276e-05,1.082055382409954,
0.44000000000000006,1.0800000000000003,1,2.716767575000276e-05,1.082055382409954,
0.44000000000000006,1.0900000000000003,1,2.716767575000276e-05,1.082055382409954,
0.44000000000000006,1.1000000000000003,1,1.3643300655019088e-05,2.154678733261247,
0.44000000000000006,1.1100000000000003,1,1.3643300655019088e-05,2.154678733261247,
0.44000000000000006,1.1200000000000003,1,1.3643300655019088e-05,2.154678733261247,
0.44000000000000006,1.1300000000000003,1,4.4020372009836973e-07,66.78028474245903,
0.44000000000000006,1.1400000000000003,1,4.4020372009836973e-07,66.78028474245903,
0.44000000000000006,1.1500000000000004,1,4.4020372009836973e-07,66.78028474245903,
0.44000000000000006,1.1600000000000004,0,,,
0.44000000000000006,1.1700000000000004,0,,,
0.44000000000000006,1.1800000000000004,0,,,
0.44000000000000006,1.1900000000000004,0,,,
0.44000000000000006,1.2000000000000004,0,,,
0.44000000000000006,1.2100000000000004,0,,,
0.45000000000000007,0.8,0,,,
0.45000000000000007,0.81,0,,,
0.45000000000000007,0.8200000000000001,0,,,
0.45000000000000007,0.8300000000000001,0,,,
0.45000000000000007,0.8400000000000001,0,,,
0.45000000000000007,0.8500000000000001,0,,,
0.45000000000000007,0.8600000000000001,0,,,
0.45000000000000007,0.8700000000000001,0,,,
0.45000000000000007,0.8800000000000001,0,,,
0.45000000000000007,0.8900000000000001,1,4.85408288549683e-05,0.7398592795622216,1.2627446188978354e-05
0.45000000000000007,0.9000000000000001,1,4.129351140161923e-05,0.7612809931955713,9.857546029261896e-06
0.45000000000000007,0.9100000000000001,1,5.1463135364457834e-05,0.7398592795622216,1.338765710969697e-05
0.45000000000000007,0.9200000000000002,1,5.507064246669828e-05,0.7404323322687998,1.4294558225539663e-05
0.45000000000000007,0.9300000000000002,1,4.869149736859597e-05,0.7404323322687998,1.2638738410306328e-05
0.45000000000000007,0.9400000000000002,1,5.7905993918254213e-05,0.7404323322687998,1.503052378901831e-05
0.45000000000000007,0.9500000000000002,1,6.142889281214558e-05,0.7427306421011043,1.5803771810220784e-05
0.45000000000000007,0.9600000000000002,1,5.5896554595739445e-05,0.7427306421011043,1.4380470709606455e-05
0.45000000000000007,0.9700000000000002,1,6.415749433364756e-05,0.7427306421011043,1.6505757371619547e-05
0.45000000000000007,0.9800000000000002,1,6.757172570999329e-05,0.7466396336303202,1.7119997182115415e-05
0.45000000000000007,0.9900000000000002,1,6.286178832531306e-05,0.7466396336303202,1.5926685720754582e-05
