width_peak,refamp_peak,center_D,sigma_D,D,eta,delta_mu,acceptance_mismatch,extra_width_beta,extra_refamp_beta,width_component,refamp_component
0.0,0.0,5.63,0.15,6.711864406779661,2.1,-0.21487197516006162,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,2.29,-0.21485244962616434,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,2.4800000000000004,-0.21483292379129537,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,2.6700000000000004,-0.21481339775447594,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,2.8600000000000003,-0.21479387145373963,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,3.0500000000000003,-0.21477434492117453,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,3.24,-0.214754818123712,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,3.43,-0.21473529105387712,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,3.62,-0.21471576372706025,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,3.81,-0.2146962361957776,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.15,6.711864406779661,4.0,-0.21467670837245834,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,0.2,14.001223580246943,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,0.39,14.002086132355359,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,0.5800000000000001,14.002948988771983,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,0.77,14.003811551430914,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,0.96,14.004674348055325,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,1.15,14.00553652542807,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,1.34,14.006398760729752,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,1.53,14.007261300306986,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,1.72,14.008124144250488,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,1.91,14.008987292617093,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,2.1,14.009849425815986,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,2.29,14.010710675461276,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,2.4800000000000004,14.011572229196723,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,2.6700000000000004,14.012434087101632,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,2.8600000000000003,14.013296249246693,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,3.0500000000000003,14.014158715704284,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,3.24,14.015021486542395,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,3.43,14.01588456183822,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,3.62,14.016747941664853,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,3.81,14.017611626092709,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.627118644067797,4.0,14.018475615194689,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,0.2,-13.038186183831364,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,0.39,-13.036718904166172,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,0.5800000000000001,-13.035251325943428,0.0,0.0,0.0,0.0,0.0
