case,D,eta,abs_delta_parent,abs_delta_cf,abs_improvement_vs_parent
D60E21_monitor,7.254237288135593,0.2,1.2028146131618276,1.2051263030049015,-0.0023116898430739496
D60E21_monitor,7.254237288135593,0.39,1.2028146457332474,1.2051263357966935,-0.0023116900634461146
D60E21_monitor,7.254237288135593,0.5800000000000001,1.2028146782241937,1.2051263685079117,-0.0023116902837179154
D60E21_monitor,7.254237288135593,0.77,1.2028147107517206,1.2051264012557326,-0.0023116905040119207
D60E21_monitor,7.254237288135593,0.96,1.2028147432584473,1.2051264339827727,-0.002311690724325466
D60E21_monitor,7.254237288135593,1.15,1.2028147757729126,1.2051264667175179,-0.0023116909446052603
D60E21_monitor,7.254237288135593,1.34,1.2028148082705683,1.2051264994354693,-0.002311691164901042
D60E21_monitor,7.254237288135593,1.53,1.2028148407591157,1.2051265321443232,-0.0023116913852074816
D60E21_monitor,7.254237288135593,1.72,1.202814873282135,1.2051265648876446,-0.0023116916055094805
D60E21_monitor,7.254237288135593,1.91,1.2028149057827986,1.2051265976086145,-0.0023116918258159203
D60E21_monitor,7.254237288135593,2.1,1.202814938279122,1.2051266303252177,-0.0023116920460957147
D60E21_monitor,7.254237288135593,2.29,1.2028149707728897,1.2051266630392803,-0.002311692266390608
D60E21_monitor,7.254237288135593,2.4800000000000004,1.202815003258722,1.2051266957454136,-0.002311692486691719
D60E21_monitor,7.254237288135593,2.6700000000000004,1.202815035762312,1.205126728469288,-0.002311692706975954
D60E21_monitor,7.254237288135593,2.8600000000000003,1.202815068254023,1.2051267611813001,-0.0023116929272770648
D60E21_monitor,7.254237288135593,3.0500000000000003,1.2028151007595,1.2051267939070631,-0.0023116931475630764
D60E21_monitor,7.254237288135593,3.24,1.2028151332544113,1.2051268266222754,-0.002311693367864187
D60E21_monitor,7.254237288135593,3.43,1.2028151657493975,1.2051268593375415,-0.0023116935881439815
D60E21_monitor,7.254237288135593,3.62,1.202815198253615,1.2051268920620566,-0.0023116938084415395
D60E21_monitor,7.254237288135593,3.81,1.202815230757238,1.205126924785977,-0.0023116940287390975
D60E21_monitor,7.254237288135593,4.0,1.2028152632507085,1.2051269574997372,-0.002311694249028662
D60E41_monitor,7.254237288135593,0.2,1.2028146131618276,1.2051263030049015,-0.0023116898430739496
D60E41_monitor,7.254237288135593,0.295,1.202814629395632,1.2051263193488206,-0.0023116899531885338
D60E41_monitor,7.254237288135593,0.39,1.2028146457332474,1.2051263357966935,-0.0023116900634461146
D60E41_monitor,7.254237288135593,0.485,1.2028146619850597,1.2051263521585822,-0.002311690173522507
D60E41_monitor,7.254237288135593,0.5800000000000001,1.2028146782241937,1.2051263685079117,-0.0023116902837179154
D60E41_monitor,7.254237288135593,0.675,1.2028146945247342,1.205126384918605,-0.002311690393870691
D60E41_monitor,7.254237288135593,0.77,1.2028147107517206,1.2051264012557326,-0.0023116905040119207
D60E41_monitor,7.254237288135593,0.865,1.202814727030951,1.2051264176451246,-0.0023116906141735782
D60E41_monitor,7.254237288135593,0.96,1.2028147432584473,1.2051264339827727,-0.002311690724325466
D60E41_monitor,7.254237288135593,1.055,1.202814759523703,1.2051264503581938,-0.002311690834490676
D60E41_monitor,7.254237288135593,1.15,1.2028147757729126,1.2051264667175179,-0.0023116909446052603
D60E41_monitor,7.254237288135593,1.245,1.202814792026742,1.205126483081516,-0.0023116910547740233
D60E41_monitor,7.254237288135593,1.34,1.2028148082705683,1.2051264994354693,-0.002311691164901042
D60E41_monitor,7.254237288135593,1.435,1.202814824518864,1.2051265157939364,-0.0023116912750724694
D60E41_monitor,7.254237288135593,1.53,1.2028148407591157,1.2051265321443232,-0.0023116913852074816
D60E41_monitor,7.254237288135593,1.625,1.202814857019817,1.2051265485151896,-0.002311691495372692
D60E41_monitor,7.254237288135593,1.72,1.202814873282135,1.2051265648876446,-0.0023116916055094805
D60E41_monitor,7.254237288135593,1.815,1.2028148895146824,1.2051265812303447,-0.0023116917156622563
D60E41_monitor,7.254237288135593,1.91,1.2028149057827986,1.2051265976086145,-0.0023116918258159203
D60E41_monitor,7.254237288135593,2.005,1.2028149220161608,1.2051266139521162,-0.0023116919359553734
D60E41_monitor,7.254237288135593,2.1,1.202814938279122,1.2051266303252177,-0.0023116920460957147
D60E41_monitor,7.254237288135593,2.1950000000000003,1.202814954515361,1.2051266466716077,-0.002311692156246714
D60E41_monitor,7.254237288135593,2.29,1.2028149707728897,1.2051266630392803,-0.002311692266390608
D60E41_monitor,7.254237288135593,2.385,1.202814987009241,1.205126679385773,-0.0023116923765318376
D60E41_monitor,7.254237288135593,2.4800000000000004,1.202815003258722,1.2051266957454136,-0.002311692486691719
D60E41_monitor,7.254237288135593,2.575,1.2028150195033742,1.2051267121002045,-0.0023116925968302837
D60E41_monitor,7.254237288135593,2.6700000000000004,1.202815035762312,1.205126728469288,-0.002311692706975954
D60E41_monitor,7.254237288135593,2.765,1.2028150520026242,1.2051267448197422,-0.0023116928171180717
D60E41_monitor,7.254237288135593,2.8600000000000003,1.202815068254023,1.2051267611813001,-0.0023116929272770648
D60E41_monitor,7.254237288135593,2.955,1.2028150845009096,1.205126777538327,-0.002311693037417406
D60E41_monitor,7.254237288135593,3.0500000000000003,1.2028151007595,1.2051267939070631,-0.0023116931475630764
D60E41_monitor,7.254237288135593,3.145,1.2028151170021641,1.2051268102598711,-0.0023116932577069704
D60E41_monitor,7.254237288135593,3.24,1.2028151332544113,1.2051268266222754,-0.002311693367864187
D60E41_monitor,7.254237288135593,3.3350000000000004,1.202815149501967,1.2051268429799733,-0.0023116934780063048
D60E41_monitor,7.254237288135593,3.43,1.2028151657493975,1.2051268593375415,-0.0023116935881439815
D60E41_monitor,7.254237288135593,3.5250000000000004,1.2028151820042732,1.205126875702569,-0.002311693698295869
D60E41_monitor,7.254237288135593,3.62,1.202815198253615,1.2051268920620566,-0.0023116938084415395
D60E41_monitor,7.254237288135593,3.715,1.2028152145018178,1.2051269084204024,-0.0023116939185845453
D60E41_monitor,7.254237288135593,3.81,1.202815230757238,1.205126924785977,-0.0023116940287390975
