center_D,sigma_D,beta_peak,beta_eff,D,eta,base_mu,cur_mu,mu_cf,delta_mu_cf,delta_log_mu_cf,acceptance_mismatch_cf,effective_ref_vs_raw_ratio
6.74,0.05,0.2,5.83198179553903e-63,5.898305084745763,0.39,90.79862216474436,60.25448559081885,60.25448559081885,-30.544136573925506,-0.4100670918553524,0.0,0.9999999999999574
6.74,0.05,0.35,1.0205968142193302e-62,5.898305084745763,0.39,90.79862216474436,60.25448559081885,60.25448559081885,-30.544136573925506,-0.4100670918553524,0.0,0.9999999999999574
6.74,0.05,0.5,1.4579954488847575e-62,5.898305084745763,0.39,90.79862216474436,60.25448559081885,60.25448559081885,-30.544136573925506,-0.4100670918553524,0.0,0.9999999999999574
6.74,0.05,0.65,1.8953940835501848e-62,5.898305084745763,0.39,90.79862216474436,60.25448559081885,60.25448559081885,-30.544136573925506,-0.4100670918553524,0.0,0.9999999999999574
6.74,0.08,0.2,1.8358495651785892e-25,5.898305084745763,0.39,90.79862216474436,60.25448559081885,60.25448559081885,-30.544136573925506,-0.4100670918553524,0.0,0.9999999999999574
6.74,0.08,0.35,3.212736739062531e-25,5.898305084745763,0.39,90.79862216474436,60.25448559081885,60.25448559081885,-30.544136573925506,-0.4100670918553524,0.0,0.9999999999999574
6.74,0.08,0.5,4.589623912946473e-25,5.898305084745763,0.39,90.79862216474436,60.25448559081885,60.25448559081885,-30.544136573925506,-0.4100670918553524,0.0,0.9999999999999574
6.74,0.08,0.65,5.966511086830415e-25,5.898305084745763,0.39,90.79862216474436,60.25448559081885,60.25448559081885,-30.544136573925506,-0.4100670918553524,0.0,0.9999999999999574
6.74,0.1,0.2,8.26468939845659e-17,5.898305084745763,0.39,90.79862216474436,60.25448559081885,60.25448559081885,-30.544136573925506,-0.4100670918553524,0.0,0.9999999999999574
6.74,0.1,0.35,1.4463206447299032e-16,5.898305084745763,0.39,90.79862216474436,60.25448559081885,60.25448559081885,-30.544136573925506,-0.4100670918553524,0.0,0.9999999999999574
6.74,0.1,0.5,2.0661723496141476e-16,5.898305084745763,0.39,90.79862216474436,60.25448559081885,60.25448559081885,-30.544136573925506,-0.4100670918553524,0.0,0.9999999999999574
6.74,0.1,0.65,2.686024054498392e-16,5.898305084745763,0.39,90.79862216474436,60.25448559081885,60.25448559081885,-30.544136573925506,-0.4100670918553524,0.0,0.9999999999999574
6.68,0.03,0.2,7.427716115561416e-149,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.03,0.35,1.2998503202232479e-148,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.03,0.5,1.856929028890354e-148,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.03,0.65,2.4140077375574603e-148,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.05,0.2,1.683321630435896e-54,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.05,0.35,2.945812853262817e-54,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.05,0.5,4.208304076089739e-54,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.05,0.65,5.470795298916661e-54,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.08,0.2,3.703920688603104e-22,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.08,0.35,6.481861205055431e-22,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.08,0.5,9.25980172150776e-22,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.08,0.65,1.2037742237960088e-21,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.1,0.2,1.0772444686072525e-14,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.1,0.35,1.8851778200626916e-14,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.1,0.5,2.693111171518131e-14,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.1,0.65,3.5010445229735704e-14,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.03,0.2,2.175279740082959e-160,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.03,0.35,3.806739545145178e-160,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.03,0.5,5.438199350207397e-160,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.03,0.65,7.069659155269617e-160,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.05,0.2,1.1862183517015631e-58,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.05,0.35,2.075882115477735e-58,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.05,0.5,2.9655458792539075e-58,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.05,0.65,3.85520964303008e-58,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.08,0.2,8.846789943068785e-24,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.08,0.35,1.548188240037037e-23,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.08,0.5,2.211697485767196e-23,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.08,0.65,2.875206731497355e-23,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.1,0.2,9.869920542339783e-16,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.1,0.35,1.7272360949094618e-15,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.25731774139283,-30.542900934324614,-0.4100376726430027,0.0,0.9999999999999277
6.71,0.1,0.5,2.4674801355849455e-15,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.71,0.1,0.65,3.2077241762604294e-15,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.03,0.2,2.343583605401246e-172,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.03,0.35,4.10127130945218e-172,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.03,0.5,5.858959013503115e-172,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.03,0.65,7.61664671755405e-172,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.05,0.2,5.83198179553903e-63,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.05,0.35,1.0205968142193302e-62,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.05,0.5,1.4579954488847575e-62,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.05,0.65,1.8953940835501848e-62,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.08,0.2,1.8358495651785892e-25,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.08,0.35,3.212736739062531e-25,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.08,0.5,4.589623912946473e-25,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.08,0.65,5.966511086830415e-25,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.1,0.2,8.26468939845659e-17,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.1,0.35,1.4463206447299032e-16,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.1,0.5,2.0661723496141476e-16,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.74,0.1,0.65,2.686024054498392e-16,5.898305084745763,0.5800000000000001,90.80021867571745,60.257317741392704,60.257317741392754,-30.54290093432469,-0.41003767264300406,0.0,0.9999999999999277
6.68,0.03,0.2,7.427716115561416e-149,5.898305084745763,0.77,90.80181516046252,60.26014963122432,60.260149631224344,-30.54166552923818,-0.41000825936868895,0.0,0.9999999999999775
6.68,0.03,0.35,1.2998503202232479e-148,5.898305084745763,0.77,90.80181516046252,60.26014963122432,60.260149631224344,-30.54166552923818,-0.41000825936868895,0.0,0.9999999999999775
6.68,0.03,0.5,1.856929028890354e-148,5.898305084745763,0.77,90.80181516046252,60.26014963122432,60.260149631224344,-30.54166552923818,-0.41000825936868895,0.0,0.9999999999999775
6.68,0.03,0.65,2.4140077375574603e-148,5.898305084745763,0.77,90.80181516046252,60.26014963122432,60.260149631224344,-30.54166552923818,-0.41000825936868895,0.0,0.9999999999999775
