combo_id,kernel,mode,omega,m,phase,D21_complement,D21_guard,D60_hotspot,parent_D21_complement,parent_D21_guard,parent_D60_hotspot,beats_parent_reviewer,beats_parent_all_three,joint_objective
46,current_cos_notch,pointamp_two_lobe,1.4,14.0,0.4353981633974483,1.4573632481212746,2.0264191691401194,18.035880006091023,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,21.51966242335242
22,current_cos_notch,partial_two_lobe,1.4,14.0,0.4353981633974483,1.4573632481212755,2.0264191691401456,18.03588000609101,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,21.51966242335243
16,current_cos_notch,partial_two_lobe,1.3,14.0,0.4353981633974483,1.4138495108798608,1.776943596976995,18.575780513798115,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,21.76657362165497
40,current_cos_notch,pointamp_two_lobe,1.3,14.0,0.4353981633974483,1.4138495108798608,1.776943596976995,18.575780513798122,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,21.766573621654977
34,current_cos_notch,pointamp_two_lobe,1.2,14.0,0.4353981633974483,1.3694228460661526,1.7195220283803747,19.11878431268728,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,22.207729187133808
10,current_cos_notch,partial_two_lobe,1.2,14.0,0.4353981633974483,1.3694228460661533,1.7195220283803747,19.11878431268728,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,22.207729187133808
35,current_cos_notch,pointamp_two_lobe,1.2,14.0,0.5853981633974483,1.2154505363231543,2.4583189748110237,20.071803695725755,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,23.745573206859934
11,current_cos_notch,partial_two_lobe,1.2,14.0,0.5853981633974483,1.215450536323155,2.45831897481103,20.071803695725755,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,23.745573206859937
5,current_cos_notch,partial_two_lobe,1.0,14.0,0.5853981633974483,1.144775646236736,1.5877000413831437,21.016843172496845,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,23.749318860116723
29,current_cos_notch,pointamp_two_lobe,1.0,14.0,0.5853981633974483,1.1447756462367356,1.5877000413831435,21.016843172496866,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,23.749318860116745
19,current_cos_notch,partial_two_lobe,1.4,12.0,0.4353981633974483,2.7592024857522564,1.7644816824519196,20.165200572402206,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,24.688884740606383
43,current_cos_notch,pointamp_two_lobe,1.4,12.0,0.4353981633974483,2.759202485752257,1.7644816824519431,20.165200572402235,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,24.688884740606436
14,current_cos_notch,partial_two_lobe,1.3,12.0,0.5853981633974483,2.6324230924865106,0.8913836553332721,21.553897204089303,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,25.077703951909086
38,current_cos_notch,pointamp_two_lobe,1.3,12.0,0.5853981633974483,2.63242309248651,0.8913836553332721,21.553897204089314,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,25.077703951909093
41,current_cos_notch,pointamp_two_lobe,1.3,14.0,0.5853981633974483,1.249999230755552,4.354605654875963,19.60274546676039,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,25.207350352391902
17,current_cos_notch,partial_two_lobe,1.3,14.0,0.5853981633974483,1.2499992307555525,4.354605654875975,19.60274546676038,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,25.207350352391906
8,current_cos_notch,partial_two_lobe,1.2,12.0,0.5853981633974483,2.551034987900592,0.8913836553332721,21.880301268744283,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,25.322719911978147
32,current_cos_notch,pointamp_two_lobe,1.2,12.0,0.5853981633974483,2.5510349879005916,0.8913836553332721,21.880301268744308,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,25.322719911978172
6,current_cos_notch,partial_two_lobe,1.0,14.0,0.7853981633974483,0.9869700261902661,2.7191467614004865,22.07195160486812,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,25.778068392458874
30,current_cos_notch,pointamp_two_lobe,1.0,14.0,0.7853981633974483,0.9869700261902656,2.7191467614004843,22.071951604868122,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,25.778068392458874
4,current_cos_notch,partial_two_lobe,1.0,14.0,0.4353981633974483,1.2777537182112673,4.894726653770236,20.214173236101008,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,26.38665360808251
28,current_cos_notch,pointamp_two_lobe,1.0,14.0,0.4353981633974483,1.2777537182112673,4.894726653770248,20.21417323610102,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,26.386653608082536
20,current_cos_notch,partial_two_lobe,1.4,12.0,0.5853981633974483,2.707054505895447,2.554100643832318,21.22858278502317,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,26.489737934750934
44,current_cos_notch,pointamp_two_lobe,1.4,12.0,0.5853981633974483,2.707054505895447,2.5541006438323115,21.228582785023185,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,26.48973793475094
13,current_cos_notch,partial_two_lobe,1.3,12.0,0.4353981633974483,2.685352256105979,3.2439386970565662,20.562774534203804,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,26.49206548736635
37,current_cos_notch,pointamp_two_lobe,1.3,12.0,0.4353981633974483,2.685352256105979,3.2439386970565685,20.56277453420384,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,26.492065487366386
23,current_cos_notch,partial_two_lobe,1.4,14.0,0.5853981633974483,1.2840325373048236,6.1883225736913,19.135979877778738,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,26.608334988774864
47,current_cos_notch,pointamp_two_lobe,1.4,14.0,0.5853981633974483,1.2840325373048236,6.1883225736913,19.13597987777876,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,26.608334988774885
3,current_cos_notch,partial_two_lobe,1.0,12.0,0.7853981633974483,2.2748826468469554,0.8913836553332748,23.49417808512427,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,26.660444387304498
27,current_cos_notch,pointamp_two_lobe,1.0,12.0,0.7853981633974483,2.2748826468469554,0.8913836553332743,23.494178085124297,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,26.660444387304526
76,sin2_half_plus_phase,pointamp_two_lobe,1.0,14.0,0.4353981633974483,0.9292270848033382,4.41972098876605,22.507583944402846,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,27.856532017972235
52,sin2_half_plus_phase,partial_two_lobe,1.0,14.0,0.4353981633974483,0.9292270848033386,4.41972098876607,22.507583944402846,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,27.856532017972256
49,sin2_half_plus_phase,partial_two_lobe,1.0,12.0,0.4353981633974483,2.229225562043272,1.772448485744939,23.869523864733466,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,27.871197912521676
73,sin2_half_plus_phase,pointamp_two_lobe,1.0,12.0,0.4353981633974483,2.229225562043272,1.772448485744939,23.869523864733473,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,27.871197912521684
7,current_cos_notch,partial_two_lobe,1.2,12.0,0.4353981633974483,2.6044392525187665,4.758902576832131,20.961993987903533,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,28.32533581725443
31,current_cos_notch,pointamp_two_lobe,1.2,12.0,0.4353981633974483,2.6044392525187665,4.758902576832131,20.961993987903572,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,28.32533581725447
2,current_cos_notch,partial_two_lobe,1.0,12.0,0.5853981633974483,2.365486479416957,4.472152408698841,22.536392946183604,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,29.3740318342994
26,current_cos_notch,pointamp_two_lobe,1.0,12.0,0.5853981633974483,2.365486479416957,4.472152408698855,22.536392946183618,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,29.37403183429943
36,current_cos_notch,pointamp_two_lobe,1.2,14.0,0.7853981633974483,1.030497271029264,7.193375526729869,21.326948102539887,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,29.550820900299023
12,current_cos_notch,partial_two_lobe,1.2,14.0,0.7853981633974483,1.0304972710292644,7.193375526729863,21.32694810253991,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,29.550820900299037
9,current_cos_notch,partial_two_lobe,1.2,12.0,0.7853981633974483,2.458917076250316,4.131258717394486,23.023090519064517,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,29.61326631270932
33,current_cos_notch,pointamp_two_lobe,1.2,12.0,0.7853981633974483,2.458917076250316,4.131258717394486,23.023090519064525,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,29.613266312709328
42,current_cos_notch,pointamp_two_lobe,1.3,14.0,0.7853981633974483,1.0519808614971793,9.297412951027361,20.956573624623292,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,31.30596743714783
18,current_cos_notch,partial_two_lobe,1.3,14.0,0.7853981633974483,1.0519808614971793,9.297412951027367,20.9565736246233,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,31.305967437147842
15,current_cos_notch,partial_two_lobe,1.3,12.0,0.7853981633974483,2.5405650124429147,6.105017063794431,22.788384732655228,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,31.433966808892574
39,current_cos_notch,pointamp_two_lobe,1.3,12.0,0.7853981633974483,2.5405650124429147,6.105017063794429,22.788384732655235,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,31.43396680889258
82,sin2_half_plus_phase,pointamp_two_lobe,1.2,14.0,0.4353981633974483,0.9622374696052292,9.068739490050135,21.84596190422407,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,31.87693886387943
58,sin2_half_plus_phase,partial_two_lobe,1.2,14.0,0.4353981633974483,0.9622374696052292,9.068739490050142,21.845961904224076,1.4133092400105216,1.776970060893698,18.575780513798115,False,False,31.876938863879445
