pair,D,slice_p95_abs_log_gamma_ratio,slice_p95_abs_log_W_ratio,slice_p95_abs_delta_P,slice_p95_abs_delta_generation_ratio,slice_winner_mismatch_fraction
hybrid_vs_uniform,10.508474576271189,6.955125364285379e-11,0.023836706210778567,4.526273676779269e-05,4.852058985118646e-05,0.0
hybrid_vs_uniform,10.779661016949152,3.580913343561865e-11,0.019250394112123235,1.6536600638383803e-05,3.4402196961003104e-05,0.0
hybrid_vs_uniform,11.050847457627118,1.5144552278797083e-11,0.014849473979006898,4.262812937971816e-06,2.3586267922404146e-05,0.0
hybrid_vs_uniform,11.322033898305085,1.2473577726190763e-11,0.010621418646542442,1.7000503276753954e-05,1.6122717698530132e-05,0.0
hybrid_vs_uniform,11.593220338983052,5.2284843121560435e-12,0.00655377819773076,2.2702257115359003e-05,1.0230717292802893e-05,0.0
hybrid_vs_uniform,11.864406779661016,1.313171793525773e-12,0.002634298424607806,2.2503783927985133e-05,3.9836043091767696e-06,0.0
hybrid_vs_uniform,12.135593220338984,1.0670353489678072e-12,0.00264265681660374,2.2225789869168012e-05,4.42201666159825e-06,0.0
hybrid_vs_uniform,12.40677966101695,2.360667217263257e-12,0.006278126702485685,5.2607644165669766e-05,1.3404907657865728e-05,0.0
hybrid_vs_uniform,12.677966101694915,3.0369040615642645e-12,0.009799699929746412,7.81760986183877e-05,2.468273449409697e-05,0.0
hybrid_vs_uniform,12.94915254237288,3.331002140788405e-12,0.013218166940381585,0.00010828195360849114,3.807560759390149e-05,0.0
hybrid_vs_uniform,13.220338983050848,3.5556002586708473e-12,0.016543844893709907,0.000143202044040458,5.296336011610947e-05,0.0
hybrid_vs_uniform,13.491525423728811,3.571676288067477e-12,0.019786553731983514,0.0001819221186925346,7.109886296845503e-05,0.0
hybrid_vs_uniform,13.76271186440678,1.381228464937111e-12,0.0229556083516389,0.00022806788721511096,8.55700904702772e-05,0.0
hybrid_vs_uniform,14.033898305084746,1.368660740298337e-12,0.02605981798058954,0.00028229269149230294,9.504439126482023e-05,0.0
hybrid_vs_uniform,14.305084745762713,1.4075185461602714e-12,0.029107483240546173,0.0003422210758183719,0.0001039158328283607,0.0
hybrid_vs_uniform,14.576271186440678,1.386668557757782e-12,0.03210640555230898,0.0003380286744530725,9.571779871195841e-05,0.0
hybrid_vs_uniform,14.847457627118644,1.3576917368150256e-12,0.03506389844286828,0.0004128375718529309,8.938863911140959e-05,0.0
hybrid_vs_uniform,15.11864406779661,1.2875034371981303e-12,0.03798679403649159,0.0004935025879650556,8.472262455905266e-05,0.0
hybrid_vs_uniform,15.389830508474576,1.3000711618369035e-12,0.040881465085925786,0.0005711973717152041,9.014018097037723e-05,0.0
hybrid_vs_uniform,15.66101694915254,1.2652989767055988e-12,0.043753833047287014,0.0006515545003995538,9.934109973197547e-05,0.0
hybrid_vs_uniform,15.932203389830509,5.540012892881066e-13,0.046609389814840786,0.0007412137050691658,0.0001090935188756914,0.0
hybrid_vs_uniform,16.203389830508474,5.427880367393864e-13,0.0494532151432825,0.0008287828047392587,0.00011591208357009108,0.0
hybrid_vs_uniform,16.474576271186443,5.218936394159298e-13,0.05228999069089201,0.0009450372940681851,0.00012112741172221053,0.0
hybrid_vs_uniform,16.74576271186441,5.260236690675375e-13,0.05512402137425176,0.001047895279466715,0.00012302981287228842,0.0
hybrid_vs_uniform,17.016949152542374,5.160316618459059e-13,0.05795925275725089,0.0011490000292449843,0.00014302503695717839,0.0
hybrid_vs_uniform,17.28813559322034,5.057954055588568e-13,0.060799287369712206,0.0009987728067797574,0.00019525187625046847,0.0
hybrid_vs_uniform,17.559322033898304,4.82480722041717e-13,0.0636474040420253,0.0010818435885306954,0.00023691614608323253,0.0
hybrid_vs_uniform,17.83050847457627,4.896083538598139e-13,0.06650657401918768,0.0011739212761612827,0.000267620818544545,0.0
hybrid_vs_uniform,18.101694915254235,4.80282480452958e-13,0.06937947676267679,0.0012685353431306167,0.0003047175955127157,0.0
hybrid_vs_uniform,18.372881355932204,2.2701840407537778e-13,0.07226851652644017,0.001362621478302517,0.0003390353497476628,0.0
hybrid_vs_uniform,18.64406779661017,2.2359891715953152e-13,0.07517583980685176,0.0014728963833450237,0.0003544572240984367,0.0
hybrid_vs_uniform,18.915254237288135,2.241096197508592e-13,0.07895686524021002,0.0015885243160015938,0.0003723859751610936,0.0
hybrid_vs_uniform,19.186440677966104,2.2146728895225076e-13,0.06550468309183392,0.0013641766410848796,0.00030780208124623335,0.0
hybrid_vs_uniform,19.45762711864407,2.1860291354871723e-13,0.0,0.0,0.0,0.0
hybrid_vs_uniform,19.728813559322035,2.160271961315863e-13,0.0,0.0,0.0,0.0
hybrid_vs_uniform,20.0,2.078115457493584e-13,0.0,0.0,0.0,0.0
uniform_vs_runtime,4.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,4.271186440677966,0.0,0.0,0.0,0.0,0.0
