D,level,dr,dz,mode_n,lambda_n,window_E_lo,window_E_hi,Nps_lambda_n,g_raw_n,g_hat_to_g3,grid_index
4.0,fine,0.06,0.03,1,0.7359089334327868,0.7359089334327868,0.7359089334327868,24.9125158034437,1.0,0.08773727665701576,0
4.0,fine,0.06,0.03,2,0.8355420903544075,0.7359089334327868,0.8355420903544075,28.497067706591313,4.584551903147613,0.4022360986749103,0
4.0,fine,0.06,0.03,3,1.02491356144823,0.7359089334327868,1.02491356144823,35.31017980786931,11.39766400442561,1.0,0
4.0,fine,0.06,0.03,4,1.3016179943485513,0.7359089334327868,1.3016179943485513,45.26531354254062,21.352797739096918,1.873436322636447,0
4.0,fine,0.06,0.03,5,1.6419653290034086,0.7359089334327868,1.6419653290034086,57.51015977508575,33.59764397164204,2.947765784163876,0
4.0,fine,0.06,0.03,6,2.066705423812488,0.7359089334327868,2.066705423812488,72.79124653607938,48.87873073263569,4.288486720933037,0
4.0,fine,0.06,0.03,7,2.5669612895002767,0.7359089334327868,2.5669612895002767,90.78920194386181,66.87668614041812,5.867578313806276,0
4.0,fine,0.06,0.03,8,3.142531806823218,0.7359089334327868,3.142531806823218,111.49679023084794,87.58427442740424,7.684405716241157,0
4.0,fine,0.06,0.03,9,3.4200655322609217,0.7359089334327868,3.4200655322609217,121.48175983778293,97.56924403433923,8.560459757056707,0
4.0,fine,0.06,0.03,10,3.520178541061051,0.7359089334327868,3.520178541061051,125.08357561188956,101.17105980844586,8.876473264097104,0
4.0,fine,0.06,0.03,11,3.7092939559731013,0.7359089334327868,3.7092939559731013,131.88747545188784,107.97495964844414,9.473428906705658,0
4.0,fine,0.06,0.03,12,3.7968154935035967,0.7359089334327868,3.7968154935035967,135.03628156839125,111.12376576494755,9.74969658008862,0
4.0,fine,0.06,0.03,13,3.986358232404466,0.7359089334327868,3.986358232404466,141.85555545719728,117.94303965375359,10.348001099870759,0
4.0,fine,0.06,0.03,14,4.326476241790636,0.7359089334327868,4.326476241790636,154.09215113988822,130.1796353364445,11.421606680623057,0
4.0,fine,0.06,0.03,15,4.526814263573889,0.7359089334327868,4.526814263573889,161.29981231859517,137.38729651515146,12.053987243509303,0
4.0,fine,0.06,0.03,16,4.7513094581005655,0.7359089334327868,4.7513094581005655,169.37658817967872,145.464072376235,12.762621561729896,0
4.0,fine,0.06,0.03,17,5.251523672971558,0.7359089334327868,5.251523672971558,187.37304509519984,163.46052929175613,14.341581680973038,0
4.0,fine,0.06,0.03,18,5.333953068062401,0.7359089334327868,5.333953068062401,190.33864865708065,166.42613285363694,14.601775661136806,0
4.0,fine,0.06,0.03,19,5.827355206012163,0.7359089334327868,5.827355206012163,208.0900240751682,184.1775082717245,16.159232997236103,0
