pair,D,slice_p95_abs_delta_log_partial,slice_p95_abs_delta_log_width,slice_p95_abs_delta_mu,slice_max_abs_delta_mu,slice_acceptance_mismatch
hybrid_vs_runtime,13.76271186440678,0.002546438474050886,6.456243526771311e-08,2.2116898182151732e-07,2.2116994247585984e-07,0.0
hybrid_vs_runtime,14.033898305084746,0.0027209248998868343,4.010937531498058e-08,1.41315129491439e-07,1.4132925816018988e-07,0.0
hybrid_vs_runtime,14.305084745762713,0.00952573630811049,8.624514885577847e-08,2.91502008768133e-07,2.915048625304685e-07,0.0
hybrid_vs_runtime,14.576271186440678,0.01666749924898478,8.991895554960471e-08,5.241435642080419e-07,5.241638153586411e-07,0.0
hybrid_vs_runtime,14.847457627118644,0.021454335188805407,6.796039908611992e-08,3.871398505243165e-07,3.8726458358225515e-07,0.0
hybrid_vs_runtime,15.11864406779661,0.020930120365697684,3.850418116312495e-08,2.1246782654152804e-07,2.1248992802345262e-07,0.0
hybrid_vs_runtime,15.389830508474576,0.015342988262140944,1.624182954663003e-08,8.621426321161038e-08,8.621933611767655e-08,0.0
hybrid_vs_runtime,15.66101694915254,0.007676359632367316,2.1329785294110297e-09,2.3527194538538673e-08,2.3531860018286406e-08,0.0
hybrid_vs_runtime,15.932203389830509,0.0004806802677809296,2.133851742026221e-09,7.952419024056214e-10,8.01265336365985e-10,0.0
hybrid_vs_runtime,16.203389830508474,0.005190660659054924,2.1340609746578883e-09,4.6726452958279865e-09,4.697322529821076e-09,0.0
hybrid_vs_runtime,16.474576271186443,0.009248155222465557,2.134045253899826e-09,4.264205920601326e-09,4.278816696082176e-09,0.0
hybrid_vs_runtime,16.74576271186441,0.011287318098383427,2.1339882550496203e-09,2.7847577043738427e-09,2.803464944272453e-09,0.0
hybrid_vs_runtime,17.016949152542374,0.012037243647765837,2.133939605076577e-09,1.5233488754230177e-09,1.5377348303002463e-09,0.0
hybrid_vs_runtime,17.28813559322034,0.002755189522233559,2.1338762779551178e-09,1.239509298702591e-10,1.2395092987026704e-10,0.0
hybrid_vs_runtime,17.559322033898304,0.002755189522233559,2.133876300159578e-09,1.2395092987251565e-10,1.2395092987251697e-10,0.0
hybrid_vs_runtime,17.83050847457627,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_runtime,18.101694915254235,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_runtime,18.372881355932204,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_runtime,18.64406779661017,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_runtime,18.915254237288135,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_runtime,19.186440677966104,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_runtime,19.45762711864407,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_runtime,19.728813559322035,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_runtime,20.0,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_uniform,4.0,0.03265674365414365,0.012824673775205896,0.09536089778801893,0.09734700410333952,0.0
hybrid_vs_uniform,4.271186440677966,0.02112325089062581,0.009341005802993378,0.16181248110122243,0.16441119278835625,0.0
hybrid_vs_uniform,4.5423728813559325,0.013553363836681225,0.00687240321365082,0.14685979731758375,0.14858250802252115,0.0
hybrid_vs_uniform,4.813559322033898,0.00925248258148997,0.005325201954893655,0.17477812220163108,0.17503693059881442,0.0
hybrid_vs_uniform,5.084745762711864,0.0074736070890485335,0.004688769765925904,0.17229721544437168,0.17251372629464257,0.0
hybrid_vs_uniform,5.3559322033898304,0.006640747157510793,0.004575549004834032,0.23731783006621968,0.23755443978697954,0.0
hybrid_vs_uniform,5.627118644067797,0.007846745115990244,0.0,0.45888560588446836,0.4589045092308197,0.0
hybrid_vs_uniform,5.898305084745763,0.01428525567369264,0.0,0.7996991868121114,0.799757703162058,0.0
hybrid_vs_uniform,6.169491525423728,0.021501367809392036,0.0,1.391288584241019,1.3913757456747788,0.0
hybrid_vs_uniform,6.4406779661016955,0.01925557858147578,0.019790802960220545,1.8541402900179946,1.8541474631300972,0.0
hybrid_vs_uniform,6.711864406779661,0.013987147178469965,0.0210675324347398,0.6243766766357816,0.6243782492867318,0.0
hybrid_vs_uniform,6.983050847457627,0.03592364376026777,0.020761021817393886,0.16516983695289794,0.16517014567683042,0.0
hybrid_vs_uniform,7.254237288135593,0.0320614069190135,0.016757306298280147,0.13751247208660528,0.13751247613865658,0.0
hybrid_vs_uniform,7.525423728813559,0.023791709809391583,0.011182621669402173,0.08769686649516154,0.08769686951175482,0.0
hybrid_vs_uniform,7.796610169491526,0.015039701008616593,0.005918640878162715,0.04648559514502164,0.04648559662537499,1.0
hybrid_vs_uniform,8.067796610169491,0.007714372562131697,0.0026473685526774123,0.01987510407192188,0.01987510425081518,0.0
hybrid_vs_uniform,8.338983050847457,0.0023574777442433603,0.0007516875627035418,0.00510565943878567,0.005105659722678846,0.0
hybrid_vs_uniform,8.610169491525424,0.0011001014302393763,0.0002153247178792677,0.0018701278342925232,0.0018701278434998247,0.0
hybrid_vs_uniform,8.881355932203391,0.0028735112680417793,0.0005150385464907067,0.0040062322090697045,0.004006232287497857,0.0
hybrid_vs_uniform,9.152542372881356,0.0031165738390428305,0.0004652276968894528,0.0032586026751899146,0.0032586026778615995,0.0
hybrid_vs_uniform,9.423728813559322,0.0018517585282367762,0.0002231488103724134,0.0024704627964020178,0.0024704628086706926,0.0
hybrid_vs_uniform,9.694915254237287,0.0010143724905288586,9.57301324186686e-05,0.0009796226753702175,0.0009796226763992832,0.0
hybrid_vs_uniform,9.966101694915254,0.005588776311250257,0.00040373332174914033,0.003800453044526697,0.0038004530539286208,0.0
hybrid_vs_uniform,10.23728813559322,0.01174577551970924,0.0006332983476589252,0.005562385651669166,0.0055623856557655005,0.0
hybrid_vs_uniform,10.508474576271189,0.01863198021198398,0.0007330315626191014,0.006055737705438435,0.006055737725150057,0.0
hybrid_vs_uniform,10.779661016949152,0.02403694872612218,0.0006769324561237147,0.005268896569631437,0.005268896576426735,0.0
hybrid_vs_uniform,11.050847457627118,0.02492927902796203,0.0004951512467630759,0.003634396015404562,0.0036343960876571713,0.0
hybrid_vs_uniform,11.322033898305085,0.020476458639492524,0.00028314418443821214,0.0019530645626727155,0.001953064613463798,0.0
hybrid_vs_uniform,11.593220338983052,0.013179290524238212,0.00012490526635394885,0.000809449681999104,0.0008094497192538061,0.0
hybrid_vs_uniform,11.864406779661016,0.005845464956339267,3.7121937164565365e-05,0.00022831813932112365,0.00022831814645525583,0.0
hybrid_vs_uniform,12.135593220338984,0.00023665267519074986,1.4023434802017828e-06,5.859184082634972e-06,5.859185171180892e-06,0.0
hybrid_vs_uniform,12.40677966101695,0.004498817905160196,1.0153734074939213e-06,4.177261284878e-06,4.17727013602581e-06,0.0
hybrid_vs_uniform,12.677966101694915,0.007109132663412746,1.0626619105898798e-06,4.224818125938917e-06,4.224819156696622e-06,0.0
hybrid_vs_uniform,12.94915254237288,0.008213008235643367,8.034410771403166e-07,3.08078147257041e-06,3.080798289001557e-06,0.0
hybrid_vs_uniform,13.220338983050848,0.00787727368473061,4.967640289595141e-07,1.8394799669959023e-06,1.8395193054171705e-06,0.0
hybrid_vs_uniform,13.491525423728811,0.006040367430454708,2.420261422158214e-07,8.660672120579315e-07,8.660677646125264e-07,0.0
hybrid_vs_uniform,13.76271186440678,0.002546438474050886,6.456243526771311e-08,2.2116898182151732e-07,2.2116994247585984e-07,0.0
hybrid_vs_uniform,14.033898305084746,0.0027209248998868343,4.010937531498058e-08,1.41315129491439e-07,1.4132925816018988e-07,0.0
hybrid_vs_uniform,14.305084745762713,0.00952573630811049,8.624514885577847e-08,2.91502008768133e-07,2.915048625304685e-07,0.0
hybrid_vs_uniform,14.576271186440678,0.01666749924898478,8.991895554960471e-08,5.241435642080419e-07,5.241638153586411e-07,0.0
hybrid_vs_uniform,14.847457627118644,0.021454335188805407,6.796039908611992e-08,3.871398505243165e-07,3.8726458358225515e-07,0.0
hybrid_vs_uniform,15.11864406779661,0.020930120365697684,3.850418116312495e-08,2.1246782654152804e-07,2.1248992802345262e-07,0.0
hybrid_vs_uniform,15.389830508474576,0.015342988262140944,1.624182954663003e-08,8.621426321161038e-08,8.621933611767655e-08,0.0
hybrid_vs_uniform,15.66101694915254,0.007676359632367316,2.1329785294110297e-09,2.3527194538538673e-08,2.3531860018286406e-08,0.0
hybrid_vs_uniform,15.932203389830509,0.0004806802677809296,2.133851742026221e-09,7.952419024056214e-10,8.01265336365985e-10,0.0
hybrid_vs_uniform,16.203389830508474,0.005190660659054924,2.1340609746578883e-09,4.6726452958279865e-09,4.697322529821076e-09,0.0
hybrid_vs_uniform,16.474576271186443,0.009248155222465557,2.134045253899826e-09,4.264205920601326e-09,4.278816696082176e-09,0.0
hybrid_vs_uniform,16.74576271186441,0.011287318098383427,2.1339882550496203e-09,2.7847577043738427e-09,2.803464944272453e-09,0.0
hybrid_vs_uniform,17.016949152542374,0.012037243647765837,2.133939605076577e-09,1.5233488754230177e-09,1.5377348303002463e-09,0.0
hybrid_vs_uniform,17.28813559322034,0.002755189522233559,2.1338762779551178e-09,1.239509298702591e-10,1.2395092987026704e-10,0.0
hybrid_vs_uniform,17.559322033898304,0.002755189522233559,2.133876300159578e-09,1.2395092987251565e-10,1.2395092987251697e-10,0.0
hybrid_vs_uniform,17.83050847457627,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_uniform,18.101694915254235,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_uniform,18.372881355932204,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_uniform,18.64406779661017,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_uniform,18.915254237288135,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_uniform,19.186440677966104,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_uniform,19.45762711864407,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_uniform,19.728813559322035,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
hybrid_vs_uniform,20.0,0.002755189522233559,2.1338761891372753e-09,1.2395092987284784e-10,1.2395092987284784e-10,0.0
uniform_vs_runtime,4.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,4.271186440677966,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,4.5423728813559325,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,4.813559322033898,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,5.084745762711864,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,5.3559322033898304,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,5.627118644067797,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,5.898305084745763,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,6.169491525423728,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,6.4406779661016955,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,6.711864406779661,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,6.983050847457627,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,7.254237288135593,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,7.525423728813559,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,7.796610169491526,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,8.067796610169491,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,8.338983050847457,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,8.610169491525424,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,8.881355932203391,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,9.152542372881356,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,9.423728813559322,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,9.694915254237287,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,9.966101694915254,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,10.23728813559322,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,10.508474576271189,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,10.779661016949152,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,11.050847457627118,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,11.322033898305085,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,11.593220338983052,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,11.864406779661016,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,12.135593220338984,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,12.40677966101695,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,12.677966101694915,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,12.94915254237288,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,13.220338983050848,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,13.491525423728811,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,13.76271186440678,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,14.033898305084746,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,14.305084745762713,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,14.576271186440678,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,14.847457627118644,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,15.11864406779661,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,15.389830508474576,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,15.66101694915254,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,15.932203389830509,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,16.203389830508474,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,16.474576271186443,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,16.74576271186441,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,17.016949152542374,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,17.28813559322034,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,17.559322033898304,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,17.83050847457627,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,18.101694915254235,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,18.372881355932204,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,18.64406779661017,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,18.915254237288135,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,19.186440677966104,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,19.45762711864407,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,19.728813559322035,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,20.0,0.0,0.0,0.0,0.0,0.0
