combo_id,kernel,mode,omega,m,phase,region,D,eta,mu_full,mu_base,mu_parent,mu_cf,abs_delta_base,abs_delta_parent,abs_delta_cf,basis,factor,abs_improvement_vs_base,abs_improvement_vs_parent,improved_vs_base,improved_vs_parent
1,current_cos_notch,partial_two_lobe,1.0,12.0,0.4353981633974483,D60_hotspot,4.813559322033898,0.2,11.04256012523663,19.843547917856863,19.843547917498153,19.84354785230082,8.800987792620234,8.800987792261523,8.80098772706419,0.9348409819164178,0.9999999977226107,6.555604414870686e-08,6.519733375398573e-08,1.0,1.0
1,current_cos_notch,partial_two_lobe,1.0,12.0,0.4353981633974483,D60_hotspot,4.813559322033898,0.39,11.052161669693014,19.861021470449572,19.861021470090545,19.861021404835824,8.808859800756558,8.808859800397531,8.80885973514281,0.9348409819164178,0.9999999977226107,6.561374732427794e-08,6.52547207380394e-08,1.0,1.0
1,current_cos_notch,partial_two_lobe,1.0,12.0,0.4353981633974483,D60_hotspot,4.813559322033898,0.5800000000000001,11.061764893323978,19.87851191256123,19.878511912201887,19.878511846889722,8.816747019237251,8.816747018877908,8.816746953565744,0.9348409819164178,0.9999999977226107,6.567150734326788e-08,6.531216456551192e-08,1.0,1.0
1,current_cos_notch,partial_two_lobe,1.0,12.0,0.4353981633974483,D60_hotspot,4.813559322033898,0.77,11.07136978607142,19.895993426829776,19.89599342647012,19.89599336110055,8.824623640758356,8.8246236403987,8.82462357502913,0.9348409819164178,0.9999999977226107,6.572922472969367e-08,6.536956931313398e-08,1.0,1.0
1,current_cos_notch,partial_two_lobe,1.0,12.0,0.4353981633974483,D60_hotspot,4.813559322033898,0.96,11.080976337871572,19.913488776565693,19.91348877620572,19.913488710778687,8.83251243869412,8.832512438334149,8.832512372907114,0.9348409819164178,0.9999999977226107,6.578700606496568e-08,6.542703445688858e-08,1.0,1.0
1,current_cos_notch,partial_two_lobe,1.0,12.0,0.4353981633974483,D60_hotspot,4.813559322033898,1.15,11.090584538655236,19.930961071162425,19.930961070802137,19.93096100531777,8.84037653250719,8.840376532146902,8.840376466662534,0.9348409819164178,0.9999999977226107,6.584465594983158e-08,6.548436815023706e-08,1.0,1.0
1,current_cos_notch,partial_two_lobe,1.0,12.0,0.4353981633974483,D60_hotspot,4.813559322033898,1.34,11.100194378347563,19.9484395089474,19.94843950858679,19.948439443044997,8.848245130599835,8.848245130239228,8.848245064697434,0.9348409819164178,0.9999999977226107,6.59024017579668e-08,6.554179421414119e-08,1.0,1.0
1,current_cos_notch,partial_two_lobe,1.0,12.0,0.4353981633974483,D60_hotspot,4.813559322033898,1.53,11.10980584686784,19.965934769182383,19.965934768821462,19.965934703222203,8.856128922314543,8.856128921953623,8.856128856354363,0.9348409819164178,0.9999999977226107,6.596017954052513e-08,6.559925935789579e-08,1.0,1.0
1,current_cos_notch,partial_two_lobe,1.0,12.0,0.4353981633974483,D60_hotspot,4.813559322033898,1.72,11.119418934130268,19.98344689106172,19.98344689070048,19.98344682504372,8.864027956931453,8.864027956570213,8.864027890913453,0.9348409819164178,0.9999999977226107,6.601799995564761e-08,6.565676002878718e-08,1.0,1.0
1,current_cos_notch,partial_two_lobe,1.0,12.0,0.4353981633974483,D60_hotspot,4.813559322033898,1.91,11.129033630043503,20.00097591391144,20.000975913549883,20.00097584783555,8.871942283867936,8.87194228350638,8.871942217792048,0.9348409819164178,0.9999999977226107,6.607588787232999e-08,6.571433175395214e-08,1.0,1.0
