combo_id,placement,peak,center_D,width_D,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_runtime,slice_p95_abs_delta_guard,slice_improved_fraction_vs_base,slice_improved_fraction_vs_runtime
8,mu_linear_blend,0.5,8.0,0.02,D21_guard,8.0,0.3226590996076344,1.7769700652865041,1.0498145824470693,0.0,1.0
9,mu_linear_blend,0.5,8.0,0.05,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
9,mu_linear_blend,0.5,8.0,0.05,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987759138,1.0,0.0
9,mu_linear_blend,0.5,8.0,0.05,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
9,mu_linear_blend,0.5,8.0,0.05,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.809317775030706,1.0,0.0
9,mu_linear_blend,0.5,8.0,0.05,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211570183147,1.0,0.0
9,mu_linear_blend,0.5,8.0,0.05,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
9,mu_linear_blend,0.5,8.0,0.05,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33294416226203083,1.0,0.0
9,mu_linear_blend,0.5,8.0,0.05,D21_guard,8.0,0.3226590996076344,1.7769700652865041,1.0498145824470693,0.0,1.0
10,mu_linear_blend,0.5,8.0,0.1,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
10,mu_linear_blend,0.5,8.0,0.1,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987759138,1.0,0.0
10,mu_linear_blend,0.5,8.0,0.1,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
10,mu_linear_blend,0.5,8.0,0.1,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.809317775030706,1.0,0.0
10,mu_linear_blend,0.5,8.0,0.1,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211570183147,1.0,0.0
10,mu_linear_blend,0.5,8.0,0.1,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
10,mu_linear_blend,0.5,8.0,0.1,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33294416226203083,1.0,0.0
10,mu_linear_blend,0.5,8.0,0.1,D21_guard,8.0,0.3226590996076344,1.7769700652865041,1.0498145824470693,0.0,1.0
11,mu_linear_blend,0.5,8.0,0.2,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
11,mu_linear_blend,0.5,8.0,0.2,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987759138,1.0,0.0
11,mu_linear_blend,0.5,8.0,0.2,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
11,mu_linear_blend,0.5,8.0,0.2,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.809317775031538,1.0,0.0
11,mu_linear_blend,0.5,8.0,0.2,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211602838555,1.0,0.0
11,mu_linear_blend,0.5,8.0,0.2,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
11,mu_linear_blend,0.5,8.0,0.2,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33294416226204504,1.0,0.0
11,mu_linear_blend,0.5,8.0,0.2,D21_guard,8.0,0.3226590996076344,1.7769700652865041,1.0498145824470693,0.0,1.0
12,mu_linear_blend,0.5,8.0,0.4,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
12,mu_linear_blend,0.5,8.0,0.4,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.265449877665162,1.0,0.0
12,mu_linear_blend,0.5,8.0,0.4,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.587582772925344,1.0,0.0
12,mu_linear_blend,0.5,8.0,0.4,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.815953665131602,1.0,0.0
12,mu_linear_blend,0.5,8.0,0.4,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.832032849210254,1.0,0.0
12,mu_linear_blend,0.5,8.0,0.4,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
12,mu_linear_blend,0.5,8.0,0.4,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.3332409264620608,1.0,0.0
12,mu_linear_blend,0.5,8.0,0.4,D21_guard,8.0,0.3226590996076344,1.7769700652865041,1.0498145824470693,0.0,1.0
13,mu_linear_blend,0.5,8.05,0.01,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
13,mu_linear_blend,0.5,8.05,0.01,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987759138,1.0,0.0
13,mu_linear_blend,0.5,8.05,0.01,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
13,mu_linear_blend,0.5,8.05,0.01,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.809317775030706,1.0,0.0
13,mu_linear_blend,0.5,8.05,0.01,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211570183147,1.0,0.0
13,mu_linear_blend,0.5,8.05,0.01,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
13,mu_linear_blend,0.5,8.05,0.01,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33294416226203083,1.0,0.0
13,mu_linear_blend,0.5,8.05,0.01,D21_guard,8.0,0.3226590996076344,1.7769700652865041,1.7769673554302174,0.0,1.0
14,mu_linear_blend,0.5,8.05,0.02,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
14,mu_linear_blend,0.5,8.05,0.02,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987759138,1.0,0.0
14,mu_linear_blend,0.5,8.05,0.02,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
14,mu_linear_blend,0.5,8.05,0.02,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.809317775030706,1.0,0.0
14,mu_linear_blend,0.5,8.05,0.02,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211570183147,1.0,0.0
14,mu_linear_blend,0.5,8.05,0.02,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
14,mu_linear_blend,0.5,8.05,0.02,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33294416226203083,1.0,0.0
14,mu_linear_blend,0.5,8.05,0.02,D21_guard,8.0,0.3226590996076344,1.7769700652865041,1.745021083103094,0.0,1.0
15,mu_linear_blend,0.5,8.05,0.05,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
15,mu_linear_blend,0.5,8.05,0.05,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987759138,1.0,0.0
15,mu_linear_blend,0.5,8.05,0.05,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
15,mu_linear_blend,0.5,8.05,0.05,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.809317775030706,1.0,0.0
15,mu_linear_blend,0.5,8.05,0.05,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211570183147,1.0,0.0
15,mu_linear_blend,0.5,8.05,0.05,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
15,mu_linear_blend,0.5,8.05,0.05,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33294416226203083,1.0,0.0
15,mu_linear_blend,0.5,8.05,0.05,D21_guard,8.0,0.3226590996076344,1.7769700652865041,1.3359279705662495,0.0,1.0
16,mu_linear_blend,0.5,8.05,0.1,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
16,mu_linear_blend,0.5,8.05,0.1,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987759138,1.0,0.0
16,mu_linear_blend,0.5,8.05,0.1,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
16,mu_linear_blend,0.5,8.05,0.1,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.809317775030706,1.0,0.0
16,mu_linear_blend,0.5,8.05,0.1,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211570183147,1.0,0.0
16,mu_linear_blend,0.5,8.05,0.1,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
16,mu_linear_blend,0.5,8.05,0.1,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33294416226203083,1.0,0.0
16,mu_linear_blend,0.5,8.05,0.1,D21_guard,8.0,0.3226590996076344,1.7769700652865041,1.1352576039832993,0.0,1.0
17,mu_linear_blend,0.5,8.05,0.2,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
17,mu_linear_blend,0.5,8.05,0.2,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987759138,1.0,0.0
17,mu_linear_blend,0.5,8.05,0.2,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
17,mu_linear_blend,0.5,8.05,0.2,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.80931777503082,1.0,0.0
17,mu_linear_blend,0.5,8.05,0.2,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211576508648,1.0,0.0
17,mu_linear_blend,0.5,8.05,0.2,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
17,mu_linear_blend,0.5,8.05,0.2,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33294416226203083,1.0,0.0
17,mu_linear_blend,0.5,8.05,0.2,D21_guard,8.0,0.3226590996076344,1.7769700652865041,1.0721868046868317,0.0,1.0
18,mu_linear_blend,0.5,8.05,0.4,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
18,mu_linear_blend,0.5,8.05,0.4,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.265449877626253,1.0,0.0
18,mu_linear_blend,0.5,8.05,0.4,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58753725187269,1.0,0.0
18,mu_linear_blend,0.5,8.05,0.4,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.813362413525148,1.0,0.0
18,mu_linear_blend,0.5,8.05,0.4,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8257684287075051,1.0,0.0
18,mu_linear_blend,0.5,8.05,0.4,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
18,mu_linear_blend,0.5,8.05,0.4,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33312275810350656,1.0,0.0
18,mu_linear_blend,0.5,8.05,0.4,D21_guard,8.0,0.3226590996076344,1.7769700652865041,1.0554733513089283,0.0,1.0
19,mu_linear_blend,0.7,7.95,0.01,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
19,mu_linear_blend,0.7,7.95,0.01,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987759138,1.0,0.0
19,mu_linear_blend,0.7,7.95,0.01,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
19,mu_linear_blend,0.7,7.95,0.01,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.809317775030706,1.0,0.0
19,mu_linear_blend,0.7,7.95,0.01,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211570183147,1.0,0.0
19,mu_linear_blend,0.7,7.95,0.01,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
19,mu_linear_blend,0.7,7.95,0.01,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33294416226203083,1.0,0.0
19,mu_linear_blend,0.7,7.95,0.01,D21_guard,8.0,0.3226590996076344,1.7769700652865041,1.7769662714877028,0.0,1.0
20,mu_linear_blend,0.7,7.95,0.02,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
20,mu_linear_blend,0.7,7.95,0.02,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987759138,1.0,0.0
20,mu_linear_blend,0.7,7.95,0.02,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
20,mu_linear_blend,0.7,7.95,0.02,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.809317775030706,1.0,0.0
20,mu_linear_blend,0.7,7.95,0.02,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211570183147,1.0,0.0
20,mu_linear_blend,0.7,7.95,0.02,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
