width_power_base,trigger_lo,trigger_hi,turnoff_lo,turnoff_hi,tail_reboost_max,trigger_gamma,suppression_gamma,objective_width_focus,d4p0_mismatch,d4p8_max_abs_delta_mu,d6p4_max_abs_delta_mu,d7p2_max_abs_delta_mu
0.8,3.0,6.0,25.0,50.0,0.35,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.54199529257941,1.0201585204067576
0.8,3.0,6.0,25.0,50.0,0.35,1.0,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,47.97278920958607,1.0201585204067576
0.8,3.0,6.0,25.0,50.0,0.25,1.5,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70069744458188,1.0227474726231787
0.8,3.0,6.0,25.0,50.0,0.25,1.5,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.686256853064194,1.0227474726231787
0.8,3.0,6.0,10.0,20.0,0.15,1.0,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,25.0,50.0,0.25,1.5,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.54199529257941,1.0227474726231787
0.8,3.0,6.0,25.0,50.0,0.25,1.0,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70069744458188,1.0201585204067576
0.8,3.0,6.0,25.0,50.0,0.25,1.0,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.686256853064194,1.0201585204067576
0.8,3.0,6.0,25.0,50.0,0.25,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.54199529257941,1.0201585204067576
0.8,3.0,6.0,25.0,50.0,0.25,1.0,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,47.97278920958607,1.0201585204067576
0.8,3.0,6.0,25.0,50.0,0.15,1.5,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70069744458188,1.0227474726231787
0.8,3.0,6.0,25.0,50.0,0.15,1.5,3.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.686256853064194,1.0227474726231787
0.8,3.0,6.0,25.0,50.0,0.15,1.5,2.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.54199529257941,1.0227474726231787
0.8,3.0,6.0,10.0,20.0,0.15,1.0,1.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,10.0,20.0,0.15,1.0,2.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,25.0,50.0,0.25,1.5,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,47.97278920958607,1.0227474726231787
0.8,3.0,6.0,15.0,30.0,0.15,1.0,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,15.0,30.0,0.15,1.5,1.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,15.0,30.0,0.15,1.5,2.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,20.0,40.0,0.15,1.5,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,20.0,40.0,0.25,1.0,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,20.0,40.0,0.25,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,20.0,40.0,0.25,1.0,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,20.0,40.0,0.25,1.0,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,20.0,40.0,0.25,1.5,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,20.0,40.0,0.25,1.5,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,20.0,40.0,0.25,1.5,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,20.0,40.0,0.25,1.5,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,20.0,40.0,0.15,1.5,3.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,20.0,40.0,0.35,1.0,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,20.0,40.0,0.35,1.0,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,20.0,40.0,0.35,1.0,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,20.0,40.0,0.35,1.5,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,20.0,40.0,0.35,1.5,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,20.0,40.0,0.35,1.5,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,20.0,40.0,0.35,1.5,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,25.0,50.0,0.15,1.0,1.0,9.631766415072706,0.1951219512195122,9.631766415072706,47.97278920958607,1.0201585204067576
0.8,3.0,6.0,25.0,50.0,0.15,1.0,2.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.54199529257941,1.0201585204067576
0.8,3.0,6.0,25.0,50.0,0.15,1.0,3.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.686256853064194,1.0201585204067576
0.8,3.0,6.0,20.0,40.0,0.35,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,20.0,40.0,0.15,1.5,2.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,20.0,40.0,0.15,1.5,1.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,20.0,40.0,0.15,1.0,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,15.0,30.0,0.15,1.5,3.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,15.0,30.0,0.15,1.5,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,15.0,30.0,0.25,1.0,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,15.0,30.0,0.25,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,15.0,30.0,0.25,1.0,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,15.0,30.0,0.25,1.0,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,15.0,30.0,0.25,1.5,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,15.0,30.0,0.25,1.5,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,15.0,30.0,0.25,1.5,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,15.0,30.0,0.25,1.5,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,15.0,30.0,0.35,1.0,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,15.0,30.0,0.35,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,15.0,30.0,0.35,1.0,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,15.0,30.0,0.35,1.0,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,15.0,30.0,0.35,1.5,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,15.0,30.0,0.35,1.5,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,15.0,30.0,0.35,1.5,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,15.0,30.0,0.35,1.5,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,1.0227474726231787
0.8,3.0,6.0,20.0,40.0,0.15,1.0,1.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,20.0,40.0,0.15,1.0,2.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,20.0,40.0,0.15,1.0,3.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,1.0201585204067576
0.8,3.0,6.0,25.0,50.0,0.35,1.5,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70069744458188,1.0227474726231787
0.8,3.0,6.0,25.0,50.0,0.15,1.0,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70069744458188,1.0201585204067576
0.8,3.0,6.0,25.0,50.0,0.15,1.5,1.0,9.631766415072706,0.1951219512195122,9.631766415072706,47.97278920958607,1.0227474726231787
0.8,2.5,5.0,20.0,40.0,0.15,1.0,2.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,15.0,30.0,0.15,1.5,3.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,15.0,30.0,0.15,1.5,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,15.0,30.0,0.25,1.0,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,15.0,30.0,0.25,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,15.0,30.0,0.25,1.0,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,15.0,30.0,0.25,1.0,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,15.0,30.0,0.25,1.5,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,15.0,30.0,0.25,1.5,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,15.0,30.0,0.25,1.5,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,15.0,30.0,0.15,1.5,2.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,15.0,30.0,0.25,1.5,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,15.0,30.0,0.35,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,15.0,30.0,0.35,1.0,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,15.0,30.0,0.35,1.0,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,15.0,30.0,0.35,1.5,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,15.0,30.0,0.35,1.5,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,15.0,30.0,0.35,1.5,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,15.0,30.0,0.35,1.5,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,20.0,40.0,0.15,1.0,1.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,10.0,20.0,0.15,1.0,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,15.0,30.0,0.35,1.0,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,20.0,40.0,0.15,1.0,3.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,15.0,30.0,0.15,1.5,1.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,15.0,30.0,0.15,1.0,3.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,10.0,20.0,0.15,1.5,3.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,10.0,20.0,0.15,1.5,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,10.0,20.0,0.25,1.0,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,10.0,20.0,0.25,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,10.0,20.0,0.25,1.0,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,10.0,20.0,0.25,1.0,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,10.0,20.0,0.25,1.5,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,10.0,20.0,0.25,1.5,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,10.0,20.0,0.25,1.5,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,15.0,30.0,0.15,1.0,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,10.0,20.0,0.25,1.5,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,10.0,20.0,0.35,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,10.0,20.0,0.35,1.0,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,10.0,20.0,0.35,1.0,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,10.0,20.0,0.35,1.5,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,10.0,20.0,0.35,1.5,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,10.0,20.0,0.35,1.5,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,10.0,20.0,0.35,1.5,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,15.0,30.0,0.15,1.0,1.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,15.0,30.0,0.15,1.0,2.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,10.0,20.0,0.35,1.0,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,10.0,20.0,0.15,1.5,2.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,20.0,40.0,0.15,1.0,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,20.0,40.0,0.15,1.5,2.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.15,1.5,3.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.686256853064194,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.15,1.5,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70069744458188,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.25,1.0,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,47.97278920958607,0.3602270741826179
0.8,2.5,5.0,25.0,50.0,0.25,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.54199529257941,0.3602270741826179
0.8,2.5,5.0,25.0,50.0,0.25,1.0,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.686256853064194,0.3602270741826179
0.8,2.5,5.0,25.0,50.0,0.25,1.0,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70069744458188,0.3602270741826179
0.8,2.5,5.0,25.0,50.0,0.25,1.5,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,47.97278920958607,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.25,1.5,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.54199529257941,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.25,1.5,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.686256853064194,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.15,1.5,2.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.54199529257941,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.25,1.5,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70069744458188,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.35,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.54199529257941,0.3602270741826179
0.8,2.5,5.0,25.0,50.0,0.35,1.0,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.686256853064194,0.3602270741826179
0.8,2.5,5.0,25.0,50.0,0.35,1.0,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70069744458188,0.3602270741826179
0.8,2.5,5.0,25.0,50.0,0.35,1.5,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,47.97278920958607,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.35,1.5,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.54199529257941,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.35,1.5,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.686256853064194,0.6912000705152557
0.8,2.5,5.0,10.0,20.0,0.15,1.0,3.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,10.0,20.0,0.15,1.0,2.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,25.0,50.0,0.35,1.5,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70069744458188,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.35,1.0,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,47.97278920958607,0.3602270741826179
0.8,2.5,5.0,20.0,40.0,0.15,1.5,1.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.15,1.5,1.0,9.631766415072706,0.1951219512195122,9.631766415072706,47.97278920958607,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.15,1.0,3.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.686256853064194,0.3602270741826179
0.8,2.5,5.0,20.0,40.0,0.15,1.5,3.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,20.0,40.0,0.15,1.5,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,20.0,40.0,0.25,1.0,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,20.0,40.0,0.25,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,20.0,40.0,0.25,1.0,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,20.0,40.0,0.25,1.0,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,20.0,40.0,0.25,1.5,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,20.0,40.0,0.25,1.5,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,20.0,40.0,0.25,1.5,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,25.0,50.0,0.15,1.0,4.0,9.631766415072706,0.1951219512195122,9.631766415072706,49.70069744458188,0.3602270741826179
0.8,2.5,5.0,20.0,40.0,0.25,1.5,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
0.8,2.5,5.0,20.0,40.0,0.35,1.0,2.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,20.0,40.0,0.35,1.0,3.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,20.0,40.0,0.35,1.0,4.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.3602270741826179
0.8,2.5,5.0,20.0,40.0,0.35,1.5,1.0,9.631766415072706,0.6097560975609756,9.631766415072706,49.70231924576497,0.6912000705152557
