D,N,ell,level,Nz,zmax,E_N,omega_N,bound_proxy,S_N_ell,gamma_geo_N_ell,gamma_sr_denominator,A_l_fp,valid_action,eta,A_l_tensor,A_l_profile_refD_refN,A_l_N_shape_vs_sameD_Nref,eta_weighted_gamma_geo,eta_collapse_residual_abs,eta_collapse_residual_rel
4.0,1,1,fine,8001,80.0,-0.5050527899598634,0.7035248467823554,True,10.952658411312527,2.1573530341594729e-10,0.04221968243853877,5.1098277143605614e-09,True,0.25,5.1098277143605614e-09,716975.9824821171,1.7508427505446018,5.393382585398682e-11,0.0,0.0
4.0,1,2,fine,8001,80.0,-0.5050527899598634,0.7035248467823554,True,18.233729823057875,1.0224991294562351e-16,0.01034267131957196,9.886218926065148e-15,True,0.25,9.886218926065148e-15,14625703.128128678,2.9698644794671862,2.5562478236405877e-17,0.0,0.0
4.0,2,1,fine,8001,80.0,-0.3900972960948542,0.7809626776646537,True,10.815010368885392,3.1537817049054014e-10,0.1080618788636557,2.9184960858256078e-09,True,0.25,2.9184960858256078e-09,409503.3561746769,1.0,7.884454262263504e-11,0.0,0.0
4.0,2,2,fine,8001,80.0,-0.3900972960948542,0.7809626776646537,True,18.151442987581873,1.3380958482119617e-16,0.04019699906958173,3.3288451356672013e-15,True,0.25,3.3288451356672013e-15,4924703.8810177045,1.0,3.345239620529904e-17,0.0,0.0
4.0,3,1,fine,8001,80.0,0.005636667360582371,1.0028143733316661,False,10.376384484374634,9.73660390292951e-10,1.0256163855243272,9.49341687628348e-10,True,0.25,9.49341687628348e-10,133205.11517162615,0.32528455057351585,2.4341509757323775e-10,0.0,0.0
4.0,3,2,fine,8001,80.0,0.005636667360582371,1.0028143733316661,False,17.84637929713517,3.162659583709048e-16,1.0372110882370735,3.04919569369872e-16,True,0.25,3.04919569369872e-16,451098.96239528194,0.09159920541294779,7.90664895927262e-17,0.0,0.0
4.0,1,1,fine,8001,80.0,-0.5050527899598634,0.7035248467823554,True,10.952658411312527,2.1573530341594729e-10,0.04221968243853877,5.1098277143605614e-09,True,1.0,5.1098277143605614e-09,716975.9824821171,1.7508427505446018,2.1573530341594729e-10,0.0,0.0
4.0,1,2,fine,8001,80.0,-0.5050527899598634,0.7035248467823554,True,18.233729823057875,1.0224991294562351e-16,0.01034267131957196,9.886218926065148e-15,True,1.0,9.886218926065148e-15,14625703.128128678,2.9698644794671862,1.0224991294562351e-16,0.0,0.0
4.0,2,1,fine,8001,80.0,-0.3900972960948542,0.7809626776646537,True,10.815010368885392,3.1537817049054014e-10,0.1080618788636557,2.9184960858256078e-09,True,1.0,2.9184960858256078e-09,409503.3561746769,1.0,3.1537817049054014e-10,0.0,0.0
4.0,2,2,fine,8001,80.0,-0.3900972960948542,0.7809626776646537,True,18.151442987581873,1.3380958482119617e-16,0.04019699906958173,3.3288451356672013e-15,True,1.0,3.3288451356672013e-15,4924703.8810177045,1.0,1.3380958482119617e-16,0.0,0.0
